corpo;peito;garupa;espadua;garuComp;dorsoLombo;alturaCernelha;relacaoDorsoGarupa
1.45;0.39;1.43;0.52;0.46;0.56;1.41;1.22
1.42;0.32;1.41;0.46;0.41;0.25;1.33;0.61
1.48;0.33;1.41;0.59;0.49;0.7;1.41;1.43
1.38;0.29;1.38;0.45;0.43;0.55;1.36;1.28
1.45;0.34;1.45;0.56;0.49;0.58;1.44;1.18
1.45;0.36;1.48;0.59;0.46;0.58;1.46;1.26
1.45;0.35;1.45;0.57;0.42;0.55;1.43;1.31
1.38;0.34;1.42;0.46;0.42;0.43;1.38;1.02
1.44;0.34;1.43;0.55;0.45;0.56;1.43;1.24
1.48;0.35;1.46;0.6;0.5;0.66;1.45;1.32
1.38;0.32;1.38;0.56;0.43;0.52;1.35;1.21
1.44;0.32;1.39;0.56;0.42;0.49;1.4;1.17
1.4;0.31;1.35;0.44;0.42;0.51;1.35;1.21
1.5;0.33;1.42;0.5;0.47;0.55;1.4;1.17
1.47;0.3;1.43;0.54;0.43;0.53;1.45;1.23
1.36;0.35;1.36;0.57;0.52;0.5;1.35;0.96
1.43;0.35;1.41;0.43;0.42;0.52;1.41;1.24
1.43;0.27;1.42;0.51;0.4;0.52;1.41;1.3
1.41;0.32;1.4;0.45;0.44;0.56;1.39;1.27
1.38;0.32;1.41;0.44;0.44;0.49;1.37;1.11
1.45;0.38;1.43;0.58;0.46;0.6;1.43;1.3
1.45;0.34;1.4;0.42;0.42;0.52;1.38;1.24
1.42;0.3;1.34;0.45;0.43;0.5;1.35;1.16
1.42;0.34;1.37;0.48;0.45;0.53;1.36;1.18
1.43;0.35;1.41;0.58;0.48;0.6;1.4;1.25
1.43;0.31;1.41;0.54;0.4;0.53;1.4;1.32
1.33;0.32;1.33;0.46;0.46;0.45;1.3;0.98
1.42;0.32;1.34;0.55;0.49;0.61;1.32;1.24
1.43;0.33;1.38;0.57;0.44;0.67;1.36;1.52
1.4;0.41;1.39;0.56;0.5;0.63;1.37;1.26
1.45;0.33;1.45;0.55;0.42;0.53;1.43;1.26
1.45;0.26;1.35;0.46;0.46;0.46;1.35;1.0
1.39;0.35;1.36;0.55;0.47;0.65;1.35;1.38
1.45;0.34;1.45;0.53;0.39;0.54;1.43;1.38
1.45;0.34;1.44;0.53;0.43;0.55;1.44;1.28
1.37;0.29;1.37;0.44;0.43;0.53;1.35;1.23
1.4;0.26;1.37;0.47;0.47;0.45;1.36;0.96
1.36;0.34;1.31;0.47;0.43;0.48;1.31;1.12
1.46;0.36;1.43;0.59;0.42;0.5;1.44;1.19
1.48;0.35;1.46;0.52;0.49;0.62;1.46;1.27
1.37;0.3;1.37;0.46;0.4;0.49;1.35;1.22
1.43;0.32;1.44;0.56;0.44;0.55;1.41;1.25
1.5;0.34;1.47;0.46;0.46;0.59;1.43;1.28
1.48;0.35;1.47;0.57;0.41;0.54;1.46;1.32
1.47;0.38;1.48;0.57;0.45;0.52;1.46;1.16
1.39;0.25;1.37;0.46;0.52;0.5;1.36;0.96
1.4;0.28;1.37;0.47;0.47;0.44;1.37;0.94
1.44;0.38;1.43;0.69;0.46;0.65;1.4;1.41
1.47;0.38;1.47;0.57;0.46;0.6;1.44;1.3
1.33;0.32;1.35;0.48;0.45;0.5;1.31;1.11
1.39;0.33;1.38;0.57;0.42;0.54;1.35;1.29
1.45;0.33;1.36;0.47;0.42;0.46;1.36;1.1
1.43;0.26;1.42;0.45;0.42;0.52;1.4;1.24
1.46;0.35;1.44;0.59;0.52;0.72;1.43;1.38
1.4;0.33;1.35;0.5;0.46;0.51;1.3;1.11
1.43;0.37;1.42;0.57;0.47;0.56;1.41;1.19
1.47;0.33;1.42;0.56;0.5;0.68;1.4;1.36
1.42;0.27;1.4;0.45;0.42;0.52;1.38;1.24
1.57;0.38;1.47;0.61;0.53;0.74;1.44;1.4
1.48;0.37;1.4;0.58;0.48;0.66;1.4;1.38
1.48;0.35;1.42;0.55;0.4;0.55;1.41;1.38
1.47;0.38;1.42;0.6;0.51;0.61;1.41;1.2
1.43;0.37;1.4;0.59;0.48;0.57;1.38;1.19
1.47;0.32;1.44;0.48;0.46;0.56;1.43;1.22
1.43;0.3;1.37;0.45;0.48;0.43;1.36;0.9
1.38;0.3;1.38;0.46;0.38;0.48;1.36;1.26
1.44;0.37;1.4;0.5;0.42;0.55;1.4;1.31
1.41;0.35;1.4;0.55;0.39;0.5;1.41;1.28
1.42;0.31;1.38;0.46;0.44;0.54;1.37;1.23
1.35;0.31;1.38;0.44;0.42;0.5;1.36;1.19
1.4;0.34;1.39;0.47;0.41;0.4;1.39;0.98
1.48;0.36;1.4;0.47;0.48;0.59;1.38;1.23
1.31;0.28;1.36;0.45;0.43;0.5;1.35;1.16
1.4;0.34;1.36;0.45;0.45;0.54;1.35;1.2
1.4;0.32;1.37;0.54;0.41;0.55;1.36;1.34
1.36;0.29;1.37;0.48;0.42;0.53;1.35;1.26
1.47;0.3;1.37;0.51;0.43;0.51;1.35;1.19
1.4;0.34;1.39;0.46;0.41;0.46;1.31;1.12
1.35;0.3;1.35;0.43;0.41;0.52;1.35;1.27
1.37;0.34;1.37;0.56;0.46;0.66;1.35;1.43
1.48;0.32;1.4;0.57;0.46;0.54;1.37;1.17
1.49;0.39;1.4;0.55;0.48;0.59;1.38;1.23
1.47;0.32;1.42;0.56;0.48;0.54;1.39;1.13
1.48;0.36;1.49;0.49;0.44;0.48;1.49;1.09
1.51;0.41;1.47;0.53;0.52;0.62;1.45;1.192307692
1.44;0.36;1.49;0.49;0.45;0.49;1.49;1.09
1.43;0.32;1.41;0.54;0.42;0.51;1.42;1.21
1.37;0.27;1.38;0.45;0.43;0.48;1.37;1.12
1.4;0.3;1.39;0.45;0.44;0.54;1.31;1.23
1.45;0.3;1.36;0.5;0.46;0.48;1.36;1.04
1.4;0.27;1.37;0.43;0.45;0.53;1.38;1.18
1.39;0.28;1.37;0.43;0.45;0.47;1.36;1.04
1.4;0.33;1.36;0.49;0.49;0.5;1.33;1.02
1.42;0.29;1.38;0.48;0.44;0.51;1.36;1.16
1.4;0.34;1.4;0.54;0.45;0.66;1.37;1.47
1.46;0.36;1.43;0.47;0.44;0.46;1.3;1.05
1.48;0.36;1.39;0.58;0.49;0.64;1.37;1.31
1.38;0.31;1.39;0.51;0.44;0.55;1.36;1.25
1.44;0.33;1.39;0.45;0.45;0.48;1.35;1.07
1.43;0.35;1.37;0.5;0.5;0.5;1.37;1.0
1.52;0.38;1.48;0.61;0.46;0.56;1.47;1.22
